pname,subtitle,StrDate,EndDate,production,crew,cast,content,cover,stills
MACBETH,,1982-02-01,1982-02-28,{},"{""Witch/Lighting Opps"": [""MONICA FERNON""], ""Lighting design"": [""MICHAEL SCHELL""]}","{""RAYMOND AINSWORTH"": [""DIRECTOR""], ""unknown"": [""TIMOTHY BENNETT"", ""LACHLAN CAMPBELL"", ""PETER CROSS"", ""JOHN GOODWIN"", ""PAT GRIFFITH"", ""DARRELL HOFFMAN"", ""HELEN KEOGH"", ""MATTHEW LEONARD"", ""CARMEN MADDEN"", ""ADAM MARTIN"", ""JOHN McKENZIE-LOW"", ""ELIZABETH McMAHON"", ""PETER McMAHON"", ""CRAIG MINNS"", ""SHARON MULHALL"", ""CAROLINE NASH"", ""KERRIE O'GRADY"", ""PAUL OLISLAGERS"", ""ANNE POWER"", ""JOHN ROCHE"", ""GARY SKINNER"", ""ERIC STONE"", ""JANELLE TERENTY"", ""ANITA TONAINO"", ""JANET WALKER""], ""SUSAN CARVETH"": [""Costumes""], ""KAREN D'ARCY"": [""Gentlewoman""], ""ROSANNE DI GORI"": [""Witch & costumes""], ""TRISH FRASER"": [""Choreography""], ""PETER HICKEY"": [""Macbeth""], ""GREGORY MADELL"": [""Son of Macduff""], ""DOROTHY TOOKER"": [""Gentlewoman""]}",empty,empty,[]
"CAT AND THE CANARY, THE",,1982-04-01,1982-04-30,"{""Hendriks & SM"": [""GRANT FRASER""]}","{""Set design"": [""RAYMOND AINSWORTH""], ""Lighting Opps"": [""MONICA FERNON""], ""Lighting Design"": [""MICHAEL HAYNES""]}","{""unknown"": [""TIM ABRAMS"", ""TIMOTHY BENNETT"", ""ALISON CLEAVER"", ""PAULINE EDSER"", ""JOHN GOODWIN"", ""PETER HENSON"", ""MARGARET HICKSON"", ""TERRY HICKSON"", ""PETER McMAHON"", ""CAROLINE NASH"", ""JANE PARKER"", ""MARGARET RIENECK"", ""JENNIFER SHELDON"", ""ERIC STONE""]}",empty,empty,[]
"WINSLOW BOY, THE",,1982-06-01,1982-06-30,"{""SM"": [""LYNN TRAINOR""]}","{""Lighting Opps"": [""MONICA FERNON""], ""Lighting opps"": [""PAUL GILBERT""], ""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""unknown"": [""DENNIS ALLEN"", ""ALISON CLEAVER"", ""KEVIN DOWLING"", ""JOHN MULOCK"", ""KERRIE O'GRADY"", ""SHARMAINE PULLMAN"", ""BILL ROBERTS"", ""JENNY SHELDON"", ""ALFRED SWAFFIELD"", ""JOYCE SWAFFIELD"", ""LOU VELLA"", ""BOB WAGNER"", ""EDNA WICKS""], ""SUSAN CARVETH"": [""??""], ""ROSANNE DI GORI"": [""Costumes""], ""GEORGE DUNCAN"": [""Desmond Curry""], ""ANNE EVERS"": [""Grace Winslow""], ""TRISH FRASER"": [""Thanks""], ""NANETTE FREW"": [""DIRECTOR""], ""KEITH GLEDHILL"": [""thanks""], ""SUSAN NICHOLS"": [""Continuity""], ""DOROTHY TOOKER"": [""Violet Toogood""], ""BRENT WILLISON"": [""Ronnie Winslow""], ""JENNIFER WILLISON"": [""Thanks""]}",empty,empty,[]
"STAR-SPANGLED GIRL, THE",,1982-07-01,1982-07-31,{},"{""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""unknown"": [""SUE BOYD"", ""PATRICIA CALABRO"", ""PETER CROSS"", ""JOHN GOODWIN"", ""JOHN McKENZIE-LOW"", ""FIONA RANKIN"", ""JENNIFER SHELDON"", ""ALLAN WALPOLE""], ""SARAH BROSNAN"": [""Sophie Rauschmeyer""], ""ROSANNE DI GORI"": [""Costumes""], ""CHARLES ZARA"": [""DIRECTOR""]}",empty,empty,[]
"TOUCH OF SILK, THE",,1982-09-01,1982-09-30,"{""SM"": [""JOHN HALL""]}",{},"{""unknown"": [""DENNIS ALLEN"", ""FRED CROSS"", ""VANDA GEREMIA"", ""JANE GRAHAM"", ""ALAN HALL"", ""TERRY HICKSON"", ""CARMEN MADDEN"", ""BARBARA MARCOT"", ""CLARE MARRIOTT"", ""PAUL OLISLAGERS"", ""SHARMAINE PULLMAN"", ""MARGARET RIENECK"", ""RAY RITCHIE"", ""BRENT THORPE"", ""ALLAN WALPOLE""], ""KAREN D'ARCY"": [""Stella Patterson""], ""PETER FERNON"": [""Harry""], ""GRANT FRASER"": [""Lights""], ""ELIZABETH LYNDON"": [""DIRECTOR""], ""NOELA STEEL"": [""Mrs Davidson""], ""DOROTHY TOOKER"": [""Mrs Ryan""]}",empty,empty,[]
HARVEY,,1982-11-01,1982-11-30,"{""SM/ set construction"": [""JOHN FITZSIMMONS""]}","{""Lighting Opps/Props"": [""MONICA FERNON""], ""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""unknown"": [""PAULA BATE"", ""TIMOTHY BENNETT"", ""JOHN BRUCE"", ""ALISON CLEAVER"", ""KEVIN DOWLING"", ""BARBARA FITZGERALD"", ""JOHN GOODWIN"", ""ROBERT ISSELL"", ""PETER McMAHON"", ""BRENDA MILANESE"", ""MARGARET RIENECK"", ""ALAN SCULLY""], ""ROSANNE DI GORI"": [""Costumes""], ""JEANNETTE HICKEY"": [""Veta Louise Simmons""], ""MARK NAGLE"": [""Prompt""], ""PETER W. RYAN"": [""William Chumley""], ""KATH SCOTT"": [""Ethel Chauvernet""]}",empty,empty,[]
"O'Casey: END OF THE BEGINNING, THE",,1981-01-01,1981-01-31,{},{},{},empty,empty,[]
O'Casey: HALL OF HEALING,,1981-01-01,1981-01-31,{},{},{},empty,empty,[]
O'Casey: BEDTIME STORY,,1981-01-01,1981-01-31,{},{},{},empty,empty,[]
"VIGIL, THE",,1981-03-01,1981-03-31,"{""Saul/ASM"": [""PAUL GILBERT""]}","{""Set"": [""RAYMOND AINSWORTH""], ""Sound recording"": [""MICHAEL BOWIE""]}","{""COLLEEN CLIFFORD"": [""DIRECTOR""], ""ROSANNE DI GORI"": [""Costumes""], ""unknown"": [""BILL DONALDSON"", ""LINDA ELLIOTTE"", ""JOHN GOODWIN"", ""TERRY HICKSON"", ""DARRELL HOFFMAN"", ""ROBERT KINNANE"", ""WILLIAM LAMONBY"", ""NICHOLAS LIDSTONE"", ""SHARON MAGEE"", ""BARBARA MARCOT"", ""JOHN McKENZIE-LOW"", ""CHARLES MOODY"", ""ANGELA QUIGGEN"", ""JOHN RADO"", ""MARGARET RIENECK"", ""MYRA SHEEDY"", ""GARY SKINNER"", ""GRAHAM TAYLOR"", ""WENDY VAN AKEN"", ""JANET WALKER""], ""GEORGE DUNCAN"": [""The Judge""], ""RUTH FORD"": [""Susanna, a housewife""], ""MICHAEL GROGAN"": [""Wigs""]}",empty,empty,[]
WAITING IN THE WINGS,,1981-04-01,1981-04-30,"{""Dr. Jevons & SM"": [""GRANT FRASER""]}","{""Lighting Opps"": [""MONICA FERNON""]}","{""unknown"": [""TIMOTHY BENNETT"", ""FRED CROSS"", ""JUDITH DAY"", ""VALDA DIAMOND"", ""PAULINE EDSER"", ""BARBARA FITZGERALD"", ""AMY LONGWORTH"", ""SHARMELLE MAGEE"", ""JOHN McKENZIE-LOW"", ""NAT NIXON"", ""SHARMAINE PULLMAN"", ""ALLAN WALPOLE"", ""EDNA WICKS""], ""LUCY CLIFFORD"": [""Sarita Myrtle""], ""ROSANNE DI GORI"": [""Costumes""], ""ANNE EVERS"": [""Sylvia Archibald""], ""RUTH FORD"": [""Dora, her dresser""], ""BERNADETTE FOSTER"": [""Almina Clare""], ""ELIZABETH LYNDON"": [""DIRECTOR""], ""FRANCES MILAT"": [""Bonita Belgrave""], ""GAYNOR MITCHELL"": [""Lotta Bainbridge""], ""PETER W. RYAN"": [""Perry Lascoe""], ""DOROTHY TOOKER"": [""Deirdre O'Malley""]}",empty,empty,[]
"PRIVATE EAR, THE",,1981-07-01,1981-07-31,"{""Asst Director"": [""ROSANNE DI GORI""], ""ASM"": [""JOHN HALL""]}","{""Set"": [""RAYMOND AINSWORTH""], ""Lighting design"": [""MICHAEL SCHELL""]}","{""unknown"": [""KERRI AINSWORTH"", ""LINDSAY CARR"", ""RALPH FORSTER"", ""TONY GORDON"", ""STEVEN LAWSEN"", ""CARMEN MADDEN"", ""SHARMELLE MAGEE"", ""SHARON MAGEE"", ""JOHN RADO""], ""MICHAEL GROGAN"": [""Wigs""], ""BERNADETTE HAYES"": [""Doreen""], ""PETER W. RYAN"": [""Research""]}",empty,empty,[]
"PUBLIC EYE, THE",,1981-07-01,1981-07-31,"{""Asst Director"": [""ROSANNE DI GORI""], ""ASM"": [""JOHN HALL""]}","{""Set"": [""RAYMOND AINSWORTH""], ""Lighting design"": [""MICHAEL SCHELL""]}","{""unknown"": [""KERRI AINSWORTH"", ""RALPH FORSTER"", ""TONY GORDON"", ""STEVEN LAWSEN"", ""CARMEN MADDEN"", ""SHARMELLE MAGEE"", ""SHARON MAGEE"", ""JOHN McKENZIE-LOW"", ""PAUL SARKS""], ""MICHAEL GROGAN"": [""Wigs""], ""BERNADETTE HAYES"": [""Belinda Sidley""], ""PETER W. RYAN"": [""Research""]}",empty,empty,[]
BILLY BUDD,,1981-08-01,1981-08-31,{},"{""Lighting Design"": [""MICHAEL HAYNES""]}","{""unknown"": [""TIM ABRAMS"", ""DENNIS ALLEN"", ""WALTER ALVAREZ"", ""TIMOTHY BENNETT"", ""FRED CROSS"", ""JOHN GOODWIN"", ""TONY GORDON"", ""JANE GRAHAM"", ""PETER HENSON"", ""TERRY HICKSON"", ""DAVID JENKINS"", ""JOHN JOYCE"", ""HELEN MADDEN"", ""PETER McMAHON"", ""PAUL MORRISON"", ""MARGARET PILE"", ""MARGARET RIENECK"", ""JOHN RUMSEY"", ""PETER SCOTTON"", ""ALAN SCULLY"", ""ERIC STONE"", ""KENT STRICKLAND""], ""PAULA BATE"": [""DIRECTOR""], ""MONICA FERNON"": [""Props""], ""MICHAEL GROGAN"": [""Wigs""], ""PETER HICKEY"": [""Edward Vere""]}",empty,empty,[]
"SUBJECT WAS ROSES, THE",,1981-10-01,1981-10-31,{},"{""Lighting Opps"": [""MONICA FERNON""]}","{""MICHAEL BARNACOAT"": [""John Cleary""], ""unknown"": [""FRED CROSS"", ""ANNE FITZGERALD"", ""JOHN GOODWIN"", ""STEVEN LAWSEN"", ""SHARNELLE MacGEE"", ""JANE PARKER"", ""IAN REED"", ""ALLAN WALPOLE""], ""ROSANNE DI GORI"": [""Costumes""], ""PATRICIA EAST"": [""Nettie Cleary""], ""CHARLES ZARA"": [""DIRECTOR""]}",empty,empty,[]
"IMPORTANCE OF BEING EARNEST, THE",,1981-12-01,1981-12-31,{},{},"{""DENNIS ALLEN"": [""DIRECTOR""], ""unknown"": [""PAULA BATE"", ""TIMOTHY BENNETT"", ""ALISON CLEAVER"", ""ANTHONY COOPER"", ""BARBARA FITZGERALD"", ""LYN GALE"", ""VANDA GEREMIA"", ""JAQUI HEADS"", ""PETER HENSON"", ""VERA HENSON"", ""TERRY HICKSON"", ""DAVID JENKINS"", ""CHRISTINA MARRIOTT"", ""CLARE MARRIOTT"", ""ELIZABETH McMAHON"", ""ELLIE PARKINSON"", ""JOHN PRESCOTT"", ""MARK RADVAN"", ""JOHN RUMSEY"", ""ALAN SCULLY"", ""ERIC STONE"", ""DAVID STORIE""], ""LUCY CLIFFORD"": [""Miss Prism""], ""ROSANNE DI GORI"": [""Wardrobe co-ordination""], ""GEORGE DUNCAN"": [""Lane""], ""GAYNOR MITCHELL"": [""Lady Bracknell""]}",empty,empty,[]
BLITHE SPIRIT,,1980-01-01,1980-01-31,"{""ASM"": [""MONICA FERNON"", ""RUTH FORD""]}","{""Set design"": [""RAYMOND AINSWORTH""], ""Lighting design"": [""MICHAEL SCHELL""]}","{""unknown"": [""DENNIS ALLEN"", ""TIMOTHY BENNETT"", ""IMELDA CLARKE"", ""BARBARA FITZGERALD"", ""NANETTE FREW"", ""HELEN KEARSLEY"", ""ANNE POWER"", ""JOHN RUMSEY"", ""GREG STEPHENS"", ""RUBY SZEP"", ""EDNA WICKS""], ""SARAH BROSNAN"": [""Edith. A maid""], ""PATRICIA EAST"": [""Ruth""], ""GREGORY FRY"": [""Foyer""], ""MICHAEL GROGAN"": [""Wigs & Hairstyles""], ""ANTHONY HAYES"": [""DIRECTOR""]}",empty,empty,[]
COWARD AND COMPANY,,1980-02-01,1980-02-29,"{""ASM"": [""MONICA FERNON"", ""RUTH FORD""]}","{""Set design"": [""RAYMOND AINSWORTH""], ""Lighting design"": [""MICHAEL SCHELL""]}","{""unknown"": [""ARTHUR BARATTA"", ""TIMOTHY BENNETT"", ""IAN BEVANS"", ""IMELDA CLARKE"", ""BARBARA FITZGERALD"", ""STEVEN LAWSEN"", ""ANNE POWER"", ""JOHN RUMSEY"", ""GREG STEPHENS"", ""RUBY SZEP"", ""EDNA WICKS""], ""GREGORY FRY"": [""Foyer""], ""DAVID GODDARD "": [""Noel Coward""], ""MICHAEL GROGAN"": [""Wigs & Hairstyles""], ""ANTHONY HAYES"": [""DIRECTOR""], ""PETER W. RYAN"": [""ensemble""]}",empty,empty,[]
"DEEP BLUE SEA, THE",,1980-03-01,1980-03-31,"{""SM"": [""RUTH FORD""]}","{""Lighting design"": [""MICHAEL SCHELL""]}","{""unknown"": [""IAN BEVANS"", ""ERIC BONANNO"", ""LINDSAY CARR"", ""IMELDA CLARKE"", ""FRED CROSS"", ""ALAN PAVEY"", ""ROBIN WICKS""], ""ROSANNE DI GORI"": [""Continuity""], ""GEORGE DUNCAN"": [""Sir William Collyer""], ""NANETTE FREW"": [""DIRECTOR""], ""ELIZABETH LYNDON"": [""Hester Collyer""], ""MAY. PUSEY"": [""Mrs Elton""]}",empty,empty,[]
WAIT UNTIL DARK,,1980-05-01,1980-05-31,{},"{""Lighting Design"": [""MICHAEL HAYNES""], ""Sound design"": [""MICHAEL SCHELL""]}","{""unknown"": [""ARTHUR BARATTA"", ""KATRINA BARD"", ""IMELDA CLARKE"", ""NICOLE GEMMELL"", ""ANN HADINOTT"", ""EDDIE JANE"", ""HELEN KEARSLEY"", ""JONATHAN PAULL"", ""PAUL SARKS"", ""NESSIE SHAW"", ""EDNA WICKS"", ""JANE WICKS"", ""ROBIN WICKS""], ""ROSANNE DI GORI"": [""Policewoman""], ""PATRICIA EAST"": [""Susy Henderson""], ""MONICA FERNON"": [""Continuity""], ""CHARLES ZARA"": [""DIRECTOR""]}",empty,empty,[]
TWELTH NIGHT,,1980-07-01,1980-07-31,{},{},{},empty,empty,[]
PYGMALION,,1980-08-01,1980-08-31,{},"{""Lighting Design"": [""MICHAEL HAYNES""]}","{""SARAH BROSNAN"": [""Eliza Doolittle""], ""unknown"": [""FRED CROSS"", ""JAMES DEMPSTER"", ""VALDA DIAMOND"", ""LAURIE FLETCHER"", ""MICHAEL FLETCHER"", ""GES GIBBENS"", ""CARL JONES"", ""SANDRA McCULLOCH"", ""JANE REES"", ""ERIC STONE"", ""KENT STRICKLAND"", ""CHARLOTTE WICKS"", ""EDNA WICKS"", ""ROBIN WICKS""], ""RUTH FORD"": [""Mrs Eynesford-Hill""], ""MICHAEL GROGAN"": [""Wigs""], ""ANTHONY HAYES"": [""DIRECTOR/ Prof. Henry Higgins""], ""GAYNOR MITCHELL"": [""Mrs Higgins""]}",empty,empty,[]
ARSENIC AND OLD LACE,,1980-10-01,1980-10-31,"{""Officer Brophy/SM"": [""JOHN FITZSIMMONS""]}","{""Lighting Design"": [""MICHAEL HAYNES""]}","{""unknown"": [""DENNIS ALLEN"", ""TIMOTHY BENNETT"", ""JOHN CAMERON"", ""BARBARA FITZGERALD"", ""LAURIE FLETCHER"", ""JANE GRAHAM"", ""ROBERT ISSELL"", ""STEVEN LAWSEN"", ""MICHAEL MORLEY"", ""MARGARET RIENECK"", ""GRAHAM TAYLOR"", ""PETER TONE"", ""JANICE VELLA"", ""MARGARET VINCE"", ""EDNA WICKS""], ""PAULA BATE"": [""DIRECTOR""], ""MICHAEL GROGAN"": [""Wigs""], ""MAY. PUSEY"": [""Abby Brewster""], ""PETER W. RYAN"": [""Tedy Brewster""], ""KATH SCOTT"": [""Martha Brewster""]}",empty,empty,[]
"HAPPIEST DAYS OF YOUR LIFE, THE",,1979-01-01,1979-01-31,{},"{""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""unknown"": [""LINDSAY CARR"", ""MEGAN COOK"", ""BARBARA FITZGERALD"", ""ROY JENNINGS"", ""MARK LUHRMANN"", ""HARRY NETTLETON"", ""HELEN ORPHEN"", ""MARGARET RIENECK"", ""IAN ROSE"", ""GREG STEVENS"", ""ANTHONY VALLENTINE"", ""CHARLOTTE WICKS"", ""ROBIN WICKS""], ""SUSAN CARVETH"": [""Mrs Sowter""], ""ROSANNE Di GORI"": [""Mrs Peck""], ""RUTH FORD"": [""Miss Gossage""], ""NANETTE FREW"": [""DIRECTOR""], ""PETER W. RYAN"": [""Godfrey Pond""], ""NOELA STEEL"": [""Miss Evelyn Whitchurch""]}",empty,empty,[]
HOBSON'S CHOICE,,1979-03-01,1979-03-31,"{""ASM"": [""ROSANNE Di GORI""]}","{""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""RAYMOND AINSWORTH"": [""DIRECTOR""], ""unknown"": [""ARTHUR BARATTA"", ""IMELDA CLARKE"", ""PHILIP DODD"", ""BARBARA FITZGERALD"", ""GREGORY GUEST"", ""JOHN MEANEY"", ""JOHN NICHOL"", ""MARGARET PERKIN"", ""ANNE POWER"", ""SARAH RICKETTS"", ""IAN ROSE"", ""CHARLES ZARA""], ""SUSAN CARVETH"": [""Costumes""], ""MICHAEL GROGAN"": [""Wigs""], ""FRANCES MILAT"": [""Mrs Hepworth""], ""GAYNOR MITCHELL"": [""Maggie Hobson""]}",empty,empty,[]
TITUS ANDRINICUS,,1979-05-01,1979-05-31,{},"{""Lighting design"": [""MICHAEL SCHELL""]}","{""unknown"": [""DENNIS ALLEN"", ""TIMOTHY BENNETT"", ""SUZANNE CARTER"", ""KEVIN DOWLING"", ""BARBARA FITZGERALD"", ""ROBERT ISSELL"", ""HELEN KEARSLEY"", ""BRETT MARRO"", ""MARTIN MOODY"", ""JOHN NICHOL"", ""ALEXANDER RIENECK"", ""CHRISTIAN RIENECK"", ""MARGARET RIENECK"", ""IAN ROSE"", ""JOHN RUMSEY"", ""SHANE SODY"", ""STEPHEN WELLS"", ""MARY WESTON""], ""PATRICIA EAST"": [""Lavinia""], ""JOHN FITZSIMMONS"": [""Martius/Sempronius""], ""RUTH FORD"": [""Costumes""], ""MICHAEL GROGAN"": [""Wigs""], ""PETER HICKEY"": [""Titus Andronicus""], ""PAUL HOUCHIN"": [""Publius""], ""GAYNOR MITCHELL"": [""Tamora, The queen""], ""PETER W. RYAN"": [""Saturninus""]}",empty,empty,[]
BERNADETTE,,1979-05-01,1979-05-31,"{""SM"": [""PAUL GILBERT""]}",{},"{""unknown"": [""BRUCE BANNERMAN"", ""MARIE BARRINGTON"", ""ERIC BONANNO"", ""IMELDA CLARKE"", ""MEGAN COOK"", ""PAUL FERRY"", ""BARBARA FITZGERALD"", ""DAVID HUNT"", ""LESLEY LARKUM"", ""GREG MACKAY"", ""STEVEN McCLOSKY"", ""STEPHEN MURPHY"", ""MARQUITA SWERUS"", ""RUBY SZEP"", ""CHARLOTTE WICKS"", ""JANE WICKS"", ""ROBIN WICKS""], ""COLLEEN CLIFFORD"": [""DIRECTOR""], ""ROSANNE Di GORI"": [""Louise Soubirous""], ""MONICA FERNON"": [""Emmy Estrade""], ""FRANCES MILAT"": [""Irma Jacomet""], ""KATH SCOTT"": [""Mrs Millet""]}",empty,empty,[]
"CAVE DWELLERS, THE",,1979-06-01,1979-06-30,{},"{""Lighting opps"": [""ROSANNE DI GORI""], ""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""unknown"": [""GWEN BAXTER"", ""TIMOTHY BENNETT"", ""GREG CLARK"", ""IMELDA CLARKE"", ""ANN CONNOR"", ""JON DARLING"", ""INGRID HEIMANS"", ""TERRY LYONS"", ""STEVEN McCLOSKY"", ""JUNE. McGORMAN"", ""JACK MORTON"", ""ALLAN PENNEY"", ""MAXWELL POPE"", ""SARAH RICKETTS"", ""LILIAN WILLIAMS""]}",empty,empty,[]
"HOLLOW, THE",,1979-08-01,1979-08-31,{},"{""Set design"": [""RAYMOND AINSWORTH""], ""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""DENNIS ALLEN"": [""DIRECTOR""], ""unknown"": [""ARTHUR BARATTA"", ""PAULA BATE"", ""TIMOTHY BENNETT"", ""SUZANNE CARTER"", ""MARLENE HORSELL"", ""MICHAEL PENTECOST"", ""JANE REES"", ""MARGARET RIENECK"", ""PAUL SARKS"", ""RUBY SZEP""], ""GEORGE DUNCAN"": [""Gudgeon""], ""PATRICIA EAST"": [""Henrietta Angkatell""], ""ANTHONY HAYES"": [""Edward Angkatell""], ""BERNADETTE HAYES"": [""Midge Harvey""], ""ELIZABETH LYNDON"": [""Gerda Christow""], ""GAYNOR MITCHELL"": [""Lady Angkatell""]}",empty,empty,[]
BECKET,,1979-10-01,1979-10-31,"{""SM"": [""ROSANNE Di GORI""]}",{},"{""unknown"": [""DENNIS ALLEN"", ""IAN BEVANS"", ""IMELDA CLARKE"", ""ROD CLARKE"", ""PHILIP DELANDRO"", ""PETER HIDDEN"", ""SHARON MAGEE"", ""BARBARA MARCOT"", ""MICHAEL PENTACOST"", ""MAXWELL POPE"", ""MARGARET RIENECK"", ""JOHN RUMSEY""], ""BRIAN DONOVAN"": [""DIRECTOR""], ""ANNE EVERS"": [""Eleanor""], ""RUTH FORD"": [""Costumes""], ""MARY JOHNSON"": [""Props""], ""TONY JOHNSON"": [""Props""]}",empty,empty,[]
MURDER IN THE CATHEDRAL,,1979-10-01,1979-10-31,"{""SM & chorus"": [""ROSANNE Di GORI""]}",{},"{""unknown"": [""DENNIS ALLEN"", ""ARTHUR BARATTA"", ""IAN BEVANS"", ""IAN BEVANS"", ""IMELDA CLARKE"", ""ROD CLARKE"", ""PHILIP DELANDRO"", ""BARBARA FITZGERALD"", ""PETER HIDDEN"", ""SHERYLE HIEDTMANN"", ""DARRELL HOFFMAN"", ""STEVEN LAWSEN"", ""SHARON MAGEE"", ""BARBARA MARCOT"", ""JEANNETTE NOVY"", ""MARIE O'HALLORAN"", ""MICHAEL PENTACOST"", ""MAXWELL POPE"", ""MARGARET RIENECK"", ""JOHN ROCHE"", ""SYLVIA ROSALINE"", ""JOHN RUMSEY"", ""RUBY SZEP"", ""JOSEPHINE TESORIERO""], ""MICHAEL BARNACOAT"": [""Tempter 4""], ""BRIAN DONOVAN"": [""DIRECTOR""], ""ANNE EVERS"": [""Chorus""], ""RUTH FORD"": [""Costumes""], ""MARY JOHNSON"": [""Props""], ""TONY JOHNSON"": [""Props""], ""PETER W. RYAN"": [""3rd Priest""]}",empty,empty,[]
TONIGHT AT 8.30,,1979-12-01,1979-12-31,"{""ASM"": [""MONICA FERNON"", ""RUTH FORD""]}","{""Set design"": [""RAYMOND AINSWORTH""], ""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""unknown"": [""TIMOTHY BENNETT"", ""LINDSAY CARR"", ""IMELDA CLARKE"", ""FRED CROSS"", ""BARBARA FITZGERALD"", ""PAULINE FURLONG"", ""STEVEN LAWSEN"", ""ANNE POWER"", ""JOHN RUMSEY"", ""GREG STEPHENS"", ""RUBY SZEP"", ""EDNA WICKS"", ""CHARLES ZARA""], ""ROSANNE Di GORI"": [""Walters & Eva Blake""], ""GREGORY FRY"": [""Foyer""], ""MICHAEL GROGAN"": [""Wigs & Hairstyles""], ""ANTHONY HAYES"": [""DIRECTOR""], ""BERNADETTE HAYES"": [""Louise Charteris""], ""FRANCES MILAT"": [""Mabel Grace""], ""GAYNOR MITCHELL"": [""Mrs Wadhurst, Clara Bethal, Lily Pepper""], ""PETER W. RYAN"": [""Many parts""]}",empty,empty,[]
LITTLE WOMEN,,1978-01-01,1978-01-31,"{""SM"": [""BERNADETTE HAYES""]}","{""Lighting design"": [""MICHAEL SCHELL""]}","{""unknown"": [""PAULA BATE"", ""TIMOTHY BENNETT"", ""DAVID CANNON"", ""BARBARA FITZGERALD"", ""PAMELA FITZGERALD"", ""YVONNE FOLEY"", ""TIM HAYMAN"", ""ELIZABETH KEMP"", ""BARBARA MARCOT"", ""ANNE O'HALLORAN"", ""SARA RICKETTS"", ""MARGARET RIENECK"", ""ESSIE SHORTER"", ""HELEN STRACHAN""], ""MONICA FERNON"": [""Props""], ""MICHAEL GROGAN"": [""Wigs""], ""TONY JOHNSON"": [""Mr March""], ""ELIZABETH LYNDON"": [""Mrs March (Marmee)""]}",empty,empty,[]
HEARTBREAK HOUSE,,1978-03-01,1978-03-31,"{""ASM"": [""PAUL GILBERT""]}","{""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""unknown"": [""DENNIS ALLEN"", ""ARTHUR BARATTA"", ""BARBARA FITZGERALD"", ""KATH LEVERETT"", ""JOHN MEANEY"", ""ANNE POWER"", ""PHILIP RITCHIE"", ""JOHN WARNOCK"", ""ROBIN WICKS"", ""CHARLES ZARA""], ""MICHAEL BARNACOAT"": [""Boss Mangan""], ""PATRICIA EAST"": [""Lady Ariadne Utterword""], ""ANNE EVERS"": [""Nurse Guinness""], ""MICHAEL GROGAN"": [""Hairstyles""], ""KEVIN JACKSON"": [""DIRECTOR""], ""GAYNOR MITCHELL"": [""Mrs Hesione Hushabye""]}",empty,empty,[]
ROYAL HUNT OF THE SUN,,1978-05-01,1978-05-31,{},"{""Lighting Opps."": [""BERNADETTE HAYES""], ""Lighting Design"": [""MICHAEL HAYNES""]}","{""unknown"": [""DENNIS ALLEN"", ""PAULA BATE"", ""MICHAEL BEECHER"", ""TIMOTHY BENNETT"", ""IMELDA CLARKE"", ""MAUREEN CRAIG"", ""ERLE DALBY"", ""ROSANNE De GIORI"", ""MICHAEL DEVAUX"", ""PAMELA FITZPATRICK"", ""GREGORY FRY"", ""GEOFF HAND"", ""HELEN KEARSLEY"", ""RICK LAWS"", ""CATHY LLOYD"", ""BARBARA MARCOT"", ""FELICITY MYER"", ""MAREE OLKOWICZ"", ""JANE REES"", ""IAN ROSE"", ""JOHN RUMSEY"", ""GARY SKINNER"", ""GERRY SONT"", ""JOHN WARNOCK"", ""JOSEPHINE WATTERSON"", ""EDNA WICKS"", ""ROBIN WICKS""], ""BRIAN DONOVAN"": [""Martin Ruiz, Narrator""], ""TRISH FRASER"": [""Choreography""], ""MICHAEL GROGAN"": [""Felipillo""], ""ANTHONY HAYES"": [""DIRECTOR""], ""TONY JOHNSON"": [""Diego De Trujillo""], ""PETER W. RYAN"": [""Fray M de Nizza""]}",empty,empty,[]
"SUNSHINE BOYS, THE",,1978-07-01,1978-07-31,"{""ASM"": [""ROSANNE DI GORI"", ""MONICA FERNON""], ""Patient & SM"": [""GRANT FRASER""]}","{""Lights & Sound design"": [""MICHAEL SCHELL""]}","{""RAYMOND AINSWORTH"": [""Willie Clarke""], ""CORALIE CAMPBELL"": [""DIRECTOR""], ""ANNE EVERS"": [""Registered Nurse""], ""unknown"": [""JILLE FORSYTH"", ""TERRY LYONS"", ""BARBARA MARCOT"", ""MAREE OLKOWICZ"", ""IAN ROSE"", ""CHARLES ZARA""], ""ELIZABETH SARKS"": [""Nurse""]}",empty,empty,[]
"ASPIRIN PAPERS, THE",,1978-09-01,1978-09-30,{},{},{},empty,empty,[]
